param n := 20;
param freezetime := 35;

param R :=
1 7
2 9
3 75
4 129
5 14
6 29
7 30
8 30
9 26
10 146
11 157
12 63
13 48
14 160
15 78
16 65
17 76
18 76
19 75
20 211
;

param E :=
1 82
2 84
3 150
4 204
5 89
6 104
7 105
8 105
9 101
10 221
11 232
12 138
13 123
14 235
15 153
16 140
17 151
18 151
19 150
20 286
;

param T :=
1 92
2 93
3 183
4 270
5 98
6 117
7 118
8 116
9 112
10 280
11 295
12 156
13 137
14 291
15 174
16 156
17 170
18 169
19 168
20 357
;

param L :=
1 510
2 509
3 599
4 760
5 510
6 552
7 550
8 542
9 528
10 742
11 766
12 630
13 573
14 746
15 663
16 609
17 642
18 634
19 627
20 840
;

param g :=
1 30.00
2 30.00
3 10.00
4 10.00
5 30.00
6 30.00
7 30.00
8 30.00
9 30.00
10 10.00
11 10.00
12 30.00
13 30.00
14 10.00
15 30.00
16 30.00
17 30.00
18 30.00
19 30.00
20 10.00
;

param h :=
1 30.00
2 30.00
3 10.00
4 10.00
5 30.00
6 30.00
7 30.00
8 30.00
9 30.00
10 10.00
11 10.00
12 30.00
13 30.00
14 10.00
15 30.00
16 30.00
17 30.00
18 30.00
19 30.00
20 10.00
;

param S :=
1 1 99999
1 2 8
1 3 15
1 4 15
1 5 8
1 6 8
1 7 8
1 8 8
1 9 8
1 10 15
1 11 15
1 12 8
1 13 8
1 14 15
1 15 8
1 16 8
1 17 8
1 18 8
1 19 8
1 20 15
2 1 8
2 2 99999
2 3 15
2 4 15
2 5 8
2 6 8
2 7 8
2 8 8
2 9 8
2 10 15
2 11 15
2 12 8
2 13 8
2 14 15
2 15 8
2 16 8
2 17 8
2 18 8
2 19 8
2 20 15
3 1 15
3 2 15
3 3 99999
3 4 3
3 5 15
3 6 15
3 7 15
3 8 15
3 9 15
3 10 3
3 11 3
3 12 15
3 13 15
3 14 3
3 15 15
3 16 15
3 17 15
3 18 15
3 19 15
3 20 3
4 1 15
4 2 15
4 3 3
4 4 99999
4 5 15
4 6 15
4 7 15
4 8 15
4 9 15
4 10 3
4 11 3
4 12 15
4 13 15
4 14 3
4 15 15
4 16 15
4 17 15
4 18 15
4 19 15
4 20 3
5 1 8
5 2 8
5 3 15
5 4 15
5 5 99999
5 6 8
5 7 8
5 8 8
5 9 8
5 10 15
5 11 15
5 12 8
5 13 8
5 14 15
5 15 8
5 16 8
5 17 8
5 18 8
5 19 8
5 20 15
6 1 8
6 2 8
6 3 15
6 4 15
6 5 8
6 6 99999
6 7 8
6 8 8
6 9 8
6 10 15
6 11 15
6 12 8
6 13 8
6 14 15
6 15 8
6 16 8
6 17 8
6 18 8
6 19 8
6 20 15
7 1 8
7 2 8
7 3 15
7 4 15
7 5 8
7 6 8
7 7 99999
7 8 8
7 9 8
7 10 15
7 11 15
7 12 8
7 13 8
7 14 15
7 15 8
7 16 8
7 17 8
7 18 8
7 19 8
7 20 15
8 1 8
8 2 8
8 3 15
8 4 15
8 5 8
8 6 8
8 7 8
8 8 99999
8 9 8
8 10 15
8 11 15
8 12 8
8 13 8
8 14 15
8 15 8
8 16 8
8 17 8
8 18 8
8 19 8
8 20 15
9 1 8
9 2 8
9 3 15
9 4 15
9 5 8
9 6 8
9 7 8
9 8 8
9 9 99999
9 10 15
9 11 15
9 12 8
9 13 8
9 14 15
9 15 8
9 16 8
9 17 8
9 18 8
9 19 8
9 20 15
10 1 15
10 2 15
10 3 3
10 4 3
10 5 15
10 6 15
10 7 15
10 8 15
10 9 15
10 10 99999
10 11 3
10 12 15
10 13 15
10 14 3
10 15 15
10 16 15
10 17 15
10 18 15
10 19 15
10 20 3
11 1 15
11 2 15
11 3 3
11 4 3
11 5 15
11 6 15
11 7 15
11 8 15
11 9 15
11 10 3
11 11 99999
11 12 15
11 13 15
11 14 3
11 15 15
11 16 15
11 17 15
11 18 15
11 19 15
11 20 3
12 1 8
12 2 8
12 3 15
12 4 15
12 5 8
12 6 8
12 7 8
12 8 8
12 9 8
12 10 15
12 11 15
12 12 99999
12 13 8
12 14 15
12 15 8
12 16 8
12 17 8
12 18 8
12 19 8
12 20 15
13 1 8
13 2 8
13 3 15
13 4 15
13 5 8
13 6 8
13 7 8
13 8 8
13 9 8
13 10 15
13 11 15
13 12 8
13 13 99999
13 14 15
13 15 8
13 16 8
13 17 8
13 18 8
13 19 8
13 20 15
14 1 15
14 2 15
14 3 3
14 4 3
14 5 15
14 6 15
14 7 15
14 8 15
14 9 15
14 10 3
14 11 3
14 12 15
14 13 15
14 14 99999
14 15 15
14 16 15
14 17 15
14 18 15
14 19 15
14 20 3
15 1 8
15 2 8
15 3 15
15 4 15
15 5 8
15 6 8
15 7 8
15 8 8
15 9 8
15 10 15
15 11 15
15 12 8
15 13 8
15 14 15
15 15 99999
15 16 8
15 17 8
15 18 8
15 19 8
15 20 15
16 1 8
16 2 8
16 3 15
16 4 15
16 5 8
16 6 8
16 7 8
16 8 8
16 9 8
16 10 15
16 11 15
16 12 8
16 13 8
16 14 15
16 15 8
16 16 99999
